src_id,dst_id,correlation,common
30,24701,0.2557655,652
30,31091,0.25170383,272
30,6336,0.24891457,269
30,160,0.2469635,487
30,670,0.24656661,393
30,31297,0.24589561,419
30,7655,0.24586861,381
30,2744,0.24551578,119
30,7661,0.23791581,472
30,20221,0.23608229,125
30,7785,0.23450796,765
30,2273,0.23293826,588
30,7017,0.2325938,614
30,3087,0.23253667,723
30,24781,0.23138003,149
30,5205,0.23128681,1556
30,13429,0.22943017,220
30,3392,0.22938873,277
30,9963,0.22683206,233
30,2006,0.22232604,437
30,382,0.22076242,329
30,250,0.219688,411
30,6948,0.21903671,380
30,4087,0.21889907,632
30,17637,0.21671312,139
30,29854,0.21639714,629
30,564,0.21632943,401
30,570,0.21309672,786
30,7367,0.21227811,317
30,1601,0.21054576,171
30,11113,0.20814972,587
30,4262,0.20662451,343
